127.0.0.1 - - [10/Aug/2023:18:13:55 +0300] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [10/Aug/2023:18:18:24 +0300] "GET /WorldHourProject/jsp/admin.jsp HTTP/1.1" 200 4081
0:0:0:0:0:0:0:1 - - [10/Aug/2023:18:18:28 +0300] "GET /WorldHourProject/jsp/add-country.jsp HTTP/1.1" 200 4397
0:0:0:0:0:0:0:1 - - [10/Aug/2023:18:18:40 +0300] "POST /WorldHourProject/addcountry HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [10/Aug/2023:18:18:40 +0300] "GET /WorldHourProject/jsp/admin.jsp HTTP/1.1" 200 4557
0:0:0:0:0:0:0:1 - - [10/Aug/2023:18:18:42 +0300] "GET /WorldHourProject/jsp/add-country.jsp HTTP/1.1" 200 4397
0:0:0:0:0:0:0:1 - - [10/Aug/2023:18:19:18 +0300] "POST /WorldHourProject/addcountry HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [10/Aug/2023:18:19:18 +0300] "GET /WorldHourProject/jsp/admin.jsp HTTP/1.1" 200 5032
0:0:0:0:0:0:0:1 - - [10/Aug/2023:18:19:37 +0300] "GET /WorldHourProject/jsp/add-country.jsp HTTP/1.1" 200 4397
0:0:0:0:0:0:0:1 - - [10/Aug/2023:18:19:50 +0300] "POST /WorldHourProject/addcountry HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [10/Aug/2023:18:19:50 +0300] "GET /WorldHourProject/jsp/admin.jsp HTTP/1.1" 200 5504
0:0:0:0:0:0:0:1 - - [10/Aug/2023:18:20:17 +0300] "GET /WorldHourProject/jsp/add-country.jsp HTTP/1.1" 200 4397
0:0:0:0:0:0:0:1 - - [10/Aug/2023:18:20:29 +0300] "POST /WorldHourProject/addcountry HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [10/Aug/2023:18:20:29 +0300] "GET /WorldHourProject/jsp/admin.jsp HTTP/1.1" 200 5996
0:0:0:0:0:0:0:1 - - [10/Aug/2023:18:20:31 +0300] "GET /WorldHourProject/jsp/add-country.jsp HTTP/1.1" 200 4397
0:0:0:0:0:0:0:1 - - [10/Aug/2023:18:21:20 +0300] "POST /WorldHourProject/addcountry HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [10/Aug/2023:18:21:20 +0300] "GET /WorldHourProject/jsp/admin.jsp HTTP/1.1" 200 6474
0:0:0:0:0:0:0:1 - - [10/Aug/2023:18:21:22 +0300] "GET /WorldHourProject/jsp/add-country.jsp HTTP/1.1" 200 4397
0:0:0:0:0:0:0:1 - - [10/Aug/2023:18:22:36 +0300] "POST /WorldHourProject/addcountry HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [10/Aug/2023:18:22:36 +0300] "GET /WorldHourProject/jsp/admin.jsp HTTP/1.1" 200 6955
0:0:0:0:0:0:0:1 - - [10/Aug/2023:18:22:38 +0300] "GET /WorldHourProject/jsp/add-country.jsp HTTP/1.1" 200 4397
0:0:0:0:0:0:0:1 - - [10/Aug/2023:18:23:08 +0300] "POST /WorldHourProject/addcountry HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [10/Aug/2023:18:23:08 +0300] "GET /WorldHourProject/jsp/admin.jsp HTTP/1.1" 200 7434
0:0:0:0:0:0:0:1 - - [10/Aug/2023:18:23:11 +0300] "GET /WorldHourProject/jsp/add-country.jsp HTTP/1.1" 200 4397
0:0:0:0:0:0:0:1 - - [10/Aug/2023:18:23:43 +0300] "POST /WorldHourProject/addcountry HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [10/Aug/2023:18:23:43 +0300] "GET /WorldHourProject/jsp/admin.jsp HTTP/1.1" 200 7931
0:0:0:0:0:0:0:1 - - [10/Aug/2023:18:23:45 +0300] "GET /WorldHourProject/jsp/add-country.jsp HTTP/1.1" 200 4397
0:0:0:0:0:0:0:1 - - [10/Aug/2023:18:24:17 +0300] "POST /WorldHourProject/addcountry HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [10/Aug/2023:18:24:17 +0300] "GET /WorldHourProject/jsp/admin.jsp HTTP/1.1" 200 8431
0:0:0:0:0:0:0:1 - - [10/Aug/2023:18:24:18 +0300] "GET /WorldHourProject/jsp/add-country.jsp HTTP/1.1" 200 4397
0:0:0:0:0:0:0:1 - - [10/Aug/2023:18:24:54 +0300] "POST /WorldHourProject/addcountry HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [10/Aug/2023:18:24:54 +0300] "GET /WorldHourProject/jsp/admin.jsp HTTP/1.1" 200 8907
0:0:0:0:0:0:0:1 - - [10/Aug/2023:18:24:57 +0300] "GET /WorldHourProject/jsp/add-country.jsp HTTP/1.1" 200 4397
0:0:0:0:0:0:0:1 - - [10/Aug/2023:18:26:04 +0300] "POST /WorldHourProject/addcountry HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [10/Aug/2023:18:26:05 +0300] "GET /WorldHourProject/jsp/admin.jsp HTTP/1.1" 200 9389
0:0:0:0:0:0:0:1 - - [10/Aug/2023:18:26:06 +0300] "GET /WorldHourProject/jsp/add-country.jsp HTTP/1.1" 200 4397
0:0:0:0:0:0:0:1 - - [10/Aug/2023:18:27:53 +0300] "POST /WorldHourProject/addcountry HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [10/Aug/2023:18:27:53 +0300] "GET /WorldHourProject/jsp/admin.jsp HTTP/1.1" 200 9867
0:0:0:0:0:0:0:1 - - [10/Aug/2023:18:27:55 +0300] "GET /WorldHourProject/jsp/add-country.jsp HTTP/1.1" 200 4397
0:0:0:0:0:0:0:1 - - [10/Aug/2023:18:28:47 +0300] "POST /WorldHourProject/addcountry HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [10/Aug/2023:18:28:47 +0300] "GET /WorldHourProject/jsp/admin.jsp HTTP/1.1" 200 10344
0:0:0:0:0:0:0:1 - - [10/Aug/2023:18:28:56 +0300] "GET /WorldHourProject/jsp/add-country.jsp HTTP/1.1" 200 4397
0:0:0:0:0:0:0:1 - - [10/Aug/2023:18:30:45 +0300] "GET /WorldHourProject/jsp/admin.jsp HTTP/1.1" 200 10344
